id,Stock,Beta,marketcap,trailingPE,forwardPE
499,ZBH,1.007,27116740608,27.04508,15.205068
500,PBR,1.011,98294317056,3.9506495,4.6944447
501,BHP,0.853,146082611200,19.756847,28.279411
502,BEN,1.419,14801546240,14.794738,9.693104
503,BMO,1.171,70861365248,18.257944,10.687089
504,BPT,0.025,52002000,9.346154,0.60902256
505,HRB,0.717,6851875840,13.641667,10.584052
506,TAP,0.845,14298963968,15.389016,11.302522
507,CBRL,1.431,1614686080,19.394667,14.373519
508,BCS,1.378,35652202496,6.9485292,5.4310346
509,TD,0.841,106766336000,12.957082,9.770227
510,MTB,0.785,24233357312,9.210893,9.072988
511,BXP,1.166,10254388224,53.975204,32.014706
512,BMRN,0.309,16478960640,100.3908,31.304659
513,RY,0.836,142663483392,12.721312,11.159292
514,HBAN,1.115,20308549632,11.25,10.035972
515,BCE,0.469,30999103488,20.22619,14.337553
516,B,1.367,1883375104,119.838715,17.690477
517,BWA,1.281,8023411712,12.866667,7.9496574
518,TOL,1.642,13476472832,10.020914,9.422433
519,SAM,1.021,3660498432,49.020935,24.275919
520,EGLE,1.495,691724096,31.87245,7.4635606
521,BOX,0.835,4088076800,42.268654,15.391304
522,BC,1.55,6555474432,15.745513,11.018264
523,BKE,1.17,2031428224,9.152272,9.821952
